id	fermentation_0_replicate_1.bam	fermentation_0_replicate_2.bam	fermentation_30_replicate_1.bam	fermentation_30_replicate_2.bam
gene-YAL068C	9.4388680172328	8.58129683615743	6.35842982596326	5.1450704759194
gene-YAL067W-A	0	0	0	0
gene-YAL067C	78.2077635713575	37.0068426059289	15.8960745649081	9.43262920585223
gene-YAL065C	7.41625344211148	1.60899315677952	6.35842982596326	2.5725352379597
gene-YAL064W-B	0.674204858373771	1.60899315677952	0	0
gene-YAL064C-A	0	0.536331052259839	3.17921491298163	0
gene-YAL064W	0	0	0	0
gene-YAL063C-A	0	0	0	0
gene-YAL063C	18.8777360344656	10.7266210451968	6.35842982596326	2.5725352379597
gene-YAL062W	5121.26010420717	587.282502224524	416.477153600593	138.059391103837
gene-YAL061W	1284.36025520203	1040.48224138409	101.734877215412	70.3159631708984
gene-YAL060W	2748.05900273149	2588.33365820598	267.054052690457	284.69389966754
gene-YAL059W	91.0176558804591	136.228087273999	1678.6254740543	1433.75963928954
gene-YAL058W	57.3074129617706	73.477354159598	174.85682021399	167.21479046738
gene-YAL056W	944.561006581653	627.507331144012	82.6595877375223	67.7434279329387
gene-YAL055W	151.696093134099	113.702183079086	38.1505789557795	31.727934601503
gene-YAL054C	15688.7470543577	3416.96513394744	502.315956251097	107.188968248321
gene-YAL053W	1299.19276208626	414.047572344596	1230.35617132389	790.625829799614
gene-YAL051W	351.934936071109	253.148256666644	200.290539517843	168.929813959354
gene-YAL049C	1796.08174270773	1290.41251173717	213.007399169769	252.965965066037
gene-YAL048C	171.248034026938	120.674486758464	89.0180175634856	72.0309866628716
gene-YAL047C	68.0946906957509	65.4323883757004	76.3011579115591	73.7460101548447
gene-YAL046C	25.6197846182033	103.511893086149	85.838802650504	130.341785389958
gene-YAL044W-A	349.912321495987	247.784946144046	79.4803728245407	106.331456502334
gene-YAL044C	542.734910990886	817.368523643995	448.26930273041	373.875121250143
gene-YAL043C	428.120085067345	366.85043974573	397.401864122704	465.628878070705
gene-YAL042W	284.514450233731	457.490387577643	445.090087817428	509.36197711602
gene-YAL041W	111.918006490046	195.224503022582	394.222649209722	341.289674902653
gene-YAL040C	577.119358767948	326.625610826242	877.463315982929	632.843668538086
gene-YAL039C	504.979438921955	554.566308036674	441.910872904446	303.559158079244
gene-YAL038W	25413.4779315409	9688.28412802174	12650.0961387539	9448.92192902597
gene-YAL037C-A	14.1583020258492	8.58129683615743	19.0752894778898	9.43262920585223
gene-YAL037W	28.3166040516984	27.3528836652518	57.2258684336693	46.3056342832746
gene-YAL036C	123.3794890824	133.01010096044	1437.0051406677	1372.87630532449
gene-YAL035W	981.642273792211	1142.38514131346	2969.38672872484	2514.22443923261
gene-YAL034W-A	47.8685449445378	72.9410231073381	44.5090087817428	40.3030520613686
gene-YAL034C	2731.20388127215	1123.61355448436	302.025416733255	282.978876175567
gene-YAL033W	43.1491109359214	62.7507331144012	104.914092128394	174.074884435273
gene-YAL032C	57.9816178201443	96.5395894067711	247.978763212567	212.662913004668
gene-YAL031C	326.989356311279	246.712284039526	155.7815307361	138.916902849824
gene-YAL030W	509.024668072197	424.237862337533	123.989381606284	149.207043801663
gene-YAL029C	188.777360344656	281.573802436416	550.004179945822	467.343901562679
gene-YAL028W	144.279839691987	86.3492994138341	19.0752894778898	30.8704228555164
gene-YAL027W	229.229651847082	245.103290882747	63.5842982596326	60.0258222190596
gene-YAL026C	149.673478558977	174.843923036708	187.573679865916	202.37277205283
gene-HRA1	3.37102429186886	3.21798631355904	0	1.71502349197313
gene-YAL025C	91.0176558804591	137.837080430779	2702.33267603438	2485.92655161506
gene-YAL024C	28.3166040516984	50.9514499646847	101.734877215412	87.4661980906298
gene-YAL023C	320.921512585915	752.472466320555	1042.78249145797	994.713625344417
gene-YAL022C	22.2487603263344	30.034538926551	114.451736867339	92.6112685665492
gene-YAL021C	538.015476982269	445.154773375667	349.713640427979	301.844134587271
gene-YAL020C	170.573829168564	165.189964096031	47.6882236947244	93.4687803125357
gene-YAL019W	138.886200824997	154.999674103094	467.344592208299	394.45540315382
